ID,Client ID,Client Name,Type,Status,Amount,Currency,Recipient Amount,Recipient Currency,Transaction Fee,Fee Currency,Date,Information,Remark
2602031253310278677,260120160059014,GDD Bird Le,QR Payment,Closed,10277.33,SGD,8000.0,USD,0.0,,2026-02-03 12:53:31.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2602031149380278660,260114170052700,MY tier 1 Bird,Refund,Pending,0.54,SGD,0.54,SGD,0.0,SGD,2026-02-03 11:49:38.396,,
2602031147400278641,260114170052700,MY tier 1 Bird,QR Payment,Completed,0.54,SGD,8.0,MYR,0.0,SGD,2026-02-03 11:47:40.826,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2602022341520278624,260120160059014,GDD Bird Le,QR Payment,Completed,0.54,SGD,8.0,MYR,0.0,SGD,2026-02-02 23:41:52.083,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2602022341120278594,260120160059014,GDD Bird Le,QR Payment,Closed,2.54,SGD,8.0,MYR,0.0,,2026-02-02 23:41:12.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2602022340390278585,260120160059014,GDD Bird Le,QR Payment,Closed,2.54,SGD,8.0,MYR,0.0,,2026-02-02 23:40:39.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311820430278562,260114170052700,MY tier 1 Bird,QR Payment,Closed,1.0,SGD,1.0,SGD,0.0,SGD,2026-01-31 18:20:43.210,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_UPM - M00000000001,
2601311807150278551,260114170052700,MY tier 1 Bird,QR Payment,Closed,5001.0,SGD,5001.0,SGD,0.0,,2026-01-31 18:07:15.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311806180278522,260114170052700,MY tier 1 Bird,QR Payment,Completed,800.0,SGD,800.0,SGD,0.0,SGD,2026-01-31 18:06:18.360,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311801360278496,260114170052700,MY tier 1 Bird,Invoice Payment,Completed,4000.0,SGD,3995.0,SGD,5.0,SGD,2026-01-31 18:01:36.000,Payout to third-party (SGD) 123456 - Bank of China (Hong Kong) Limited,
2601311744590278489,260114170052700,MY tier 1 Bird,QR Payment,Completed,0.46,SGD,2.8,HKD,0.0,SGD,2026-01-31 17:44:59.364,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311719230278458,260114170052700,MY tier 1 Bird,Refund,Completed,13.49,SGD,13.49,SGD,0.0,SGD,2026-01-31 17:19:23.000,,
2601311718410278430,260114170052700,MY tier 1 Bird,QR Payment,Refunded,13.49,SGD,73.11,CNH,0.0,SGD,2026-01-31 17:18:41.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311718190278429,260114170052700,MY tier 1 Bird,QR Payment,Closed,73.11,SGD,73.11,SGD,0.0,,2026-01-31 17:18:19.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311711290278392,260114170052700,MY tier 1 Bird,Refund,Completed,13.49,SGD,13.49,SGD,0.0,SGD,2026-01-31 17:11:29.181,,
2601311421350278377,260114170052700,MY tier 1 Bird,QR Payment,Refunded,13.49,SGD,73.11,CNH,0.0,SGD,2026-01-31 14:21:35.396,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311420350278369,260114170052700,MY tier 1 Bird,QR Payment,Closed,13.49,SGD,73.11,CNH,0.0,,2026-01-31 14:20:35.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311420060278333,260114170052700,MY tier 1 Bird,QR Payment,Closed,16.24,SGD,88.0,CNH,0.0,,2026-01-31 14:20:06.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311353330278327,260114170052700,MY tier 1 Bird,Refund,Completed,1.48,SGD,1.48,SGD,0.0,SGD,2026-01-31 13:53:33.407,,
2601311352090278298,260114170052700,MY tier 1 Bird,QR Payment,Refunded,1.48,SGD,8.0,CNH,0.0,SGD,2026-01-31 13:52:09.219,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311350070278260,260114170052700,MY tier 1 Bird,QR Payment,Closed,1.48,SGD,8.0,CNH,0.0,,2026-01-31 13:50:07.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311349360278248,260114170052700,MY tier 1 Bird,QR Payment,Closed,1.48,SGD,8.0,CNH,0.0,,2026-01-31 13:49:36.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
2601311204200278211,260129150059937,null Tier three rich bird,QR Payment,Closed,5001.0,SGD,5001.0,SGD,0.0,,2026-01-31 12:04:20.000,Payment to (SGD) TEST_ACQ_01 - ALIPAY_PLUS_MPM - M00000000001,
